agent,map,kda,kill,death,assistant,win rate,defender win rate,attack win rate,pick rate,total game
killjoy,ascent,0.99,11.3?,?11.5?,?3.6,53.10%,52.90%,48.76%,6.90%,"123,420"
sage,ascent,0.91,10.8?,?11.9?,?3.7,50.70%,51.63%,48.89%,12.70%,0.9
brimstone,ascent,0.92,11.2?,?12.2?,?5.3,50.30%,51.55%,48.96%,3.60%,"63,903"
reyna,ascent,1.12,13.4?,?11.9?,?3.4,50.60%,51.55%,48.93%,13.20%,"235,110"
viper,ascent,0.93,10.5?,?11.3?,?3.9,47%,50.92%,48.93%,3.80%,"68,697"
sova,ascent,0.98,11.3?,?11.6?,?4.8,50.10%,52.10%,48.30%,8.60%,"152,796"
breach,ascent,0.9,10.1?,?11.2?,?3.9,47.70%,50.22%,48.44%,2.50%,"45,237"
jett,ascent,1.08,12.4?,?11.5?,?2.9,49.30%,51.19%,48.95%,13.40%,"240,006"
omen,ascent,0.96,12.1?,?12.6?,?4.4,49.20%,51.47%,47.98%,7%,"124,593"
skye,ascent,0.94,10.3?,?11.0?,?3.2,47.50%,50.50%,48.66%,3.20%,"57,783"
phoenix,ascent,1,11.0?,?11.0?,?3.1,50.50%,50.67%,48.14%,6.20%,"110,211"
astra,ascent,1.04,12.6?,?12.2?,?3.9,49.60%,50.27%,47.99%,1.10%,"20,451"
cypher,ascent,0.96,11.1?,?11.6?,?3.5,49.30%,51.09%,48.01%,3.90%,"70,431"
yoru,ascent,0.92,9.5?,?10.4?,?2.4,46.40%,48.67%,47.71%,3.90%,"70,278"
raze,icebox,0.97,10.8?,?11.1?,?3.4,49.40%,48.44%,50.87%,10%,"174,471"
killjoy,icebox,0.95,10.9?,?11.5?,?3.5,53%,49.96%,51.65%,5.70%,"98,787"
sage,icebox,0.9,10.8?,?12.0?,?3.6,50%,48.67%,51.83%,14.20%,"247,860"
brimstone,icebox,0.91,11.1?,?12.2?,?4.6,47.50%,48.48%,50.29%,2.70%,"47,685"
reyna,icebox,1.14,13.6?,?11.9?,?3.4,50.70%,48.52%,52.29%,13.70%,"238,986"
viper,icebox,0.95,11.2?,?11.8?,?4.0,49.90%,48.56%,52.06%,5.50%,"96,645"
sova,icebox,0.94,11.1?,?11.8?,?4.3,48.90%,48.08%,51.82%,8.10%,"140,607"
breach,icebox,0.93,10.1?,?10.9?,?3.6,51.10%,47.11%,51.01%,2.20%,"37,842"
jett,icebox,1.12,12.9?,?11.5?,?3.1,51%,48.73%,51.77%,14.10%,"245,667"
omen,icebox,0.97,12.1?,?12.5?,?3.8,48.20%,47.96%,51.45%,6.60%,"115,515"
skye,icebox,0.93,10.5?,?11.3?,?3.1,49.50%,48.62%,51.68%,3.60%,"62,781"
phoenix,icebox,0.98,10.5?,?10.7?,?2.8,50%,47.55%,51.16%,5.80%,"101,541"
astra,icebox,1.01,11.5?,?11.3?,?3.2,47.50%,46.94%,51.66%,0.90%,"15,453"
cypher,icebox,0.94,11.0?,?11.6?,?3.4,48.90%,47.75%,51.06%,2.50%,"44,421"
yoru,icebox,0.94,9.6?,?10.3?,?2.4,46.10%,46.59%,50.09%,4.30%,"74,511"
raze,breeze,0.97,10.1?,?10.3?,?3.0,50.20%,48.04%,51.00%,8.80%,"140,199"
killjoy,breeze,0.93,10.0?,?10.8?,?3.2,52.60%,49.23%,52.13%,4.90%,"77,673"
sage,breeze,0.89,10.3?,?11.6?,?3.4,50.70%,48.57%,51.98%,12.70%,"202,623"
brimstone,breeze,0.89,10.5?,?11.8?,?3.9,48.40%,47.87%,51.00%,2.80%,"44,574"
reyna,breeze,1.16,13.0?,?11.2?,?3.1,51.60%,48.70%,52.26%,13.60%,"215,475"
viper,breeze,0.97,11.2?,?11.6?,?3.8,50.20%,48.72%,51.95%,7.30%,"115,464"
sova,breeze,0.91,10.4?,?11.5?,?4.0,48%,48.11%,51.49%,7.80%,"124,491"
breach,breeze,0.91,9.5?,?10.5?,?3.3,47.70%,47.31%,51.10%,2.30%,"36,771"
jett,breeze,1.14,12.5?,?10.9?,?2.9,50.80%,48.61%,51.87%,14.30%,"227,868"
omen,breeze,0.95,11.4?,?12.1?,?3.4,48.70%,47.62%,51.37%,5.50%,"87,822"
skye,breeze,0.93,10.4?,?11.2?,?3.0,49.20%,49.08%,51.19%,4.80%,"76,755"
phoenix,breeze,0.98,10.6?,?10.7?,?2.8,49%,48.07%,51.34%,5.80%,"92,667"
astra,breeze,0.93,10.2?,?11.0?,?3.0,45.10%,48.63%,51.08%,1%,"15,708"
cypher,breeze,0.95,10.4?,?10.9?,?3.1,50.10%,47.47%,51.13%,2.60%,"41,310"
yoru,breeze,0.97,9.9?,?10.2?,?2.4,49%,47.09%,50.39%,5.70%,"90,066"
